title,url,n_ingredients,n_steps
Cookbook:Fresh Mozzarella Bruschetta,https://en.wikibooks.org/wiki/Cookbook%3AFresh_Mozzarella_Bruschetta,9,2
Cookbook:Annatto,https://en.wikibooks.org/wiki/Cookbook%3AAnnatto,0,8
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Introduction</span>",https://en.wikibooks.org/wiki/Cookbook%3AIntroduction,0,5
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Aesthetics</span>",https://en.wikibooks.org/wiki/Cookbook%3AAesthetics,0,8
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Ethics</span>",https://en.wikibooks.org/wiki/Cookbook%3AEthics,6,5
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">History of Food and Cooking</span>",https://en.wikibooks.org/wiki/Cookbook%3AHistory_of_Food_and_Cooking,2,8
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Nutrition</span>",https://en.wikibooks.org/wiki/Cookbook%3ANutrition,5,8
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Food Safety and Sanitation</span>",https://en.wikibooks.org/wiki/Cookbook%3AFood_Safety_and_Sanitation,0,8
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Ingredients</span>",https://en.wikibooks.org/wiki/Cookbook%3AIngredients,0,4
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Cereal Grain</span>",https://en.wikibooks.org/wiki/Cookbook%3ACereal_Grain,1,0
Cookbook:Condiments,https://en.wikibooks.org/wiki/Cookbook%3ACondiments,0,6
Cookbook:Dairy,https://en.wikibooks.org/wiki/Cookbook%3ADairy,8,8
Cookbook:Fruit,https://en.wikibooks.org/wiki/Cookbook%3AFruit,0,8
Cookbook:Leavening Agent,https://en.wikibooks.org/wiki/Cookbook%3ALeavening_Agent,0,8
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Meat and poultry</span>",https://en.wikibooks.org/wiki/Cookbook%3AMeat_and_poultry,1,0
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Oil and fat</span>",https://en.wikibooks.org/wiki/Cookbook%3AOil_and_fat,1,0
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Nuts and seeds</span>",https://en.wikibooks.org/wiki/Cookbook%3ANuts_and_seeds,1,0
Cookbook:Seafood,https://en.wikibooks.org/wiki/Cookbook%3ASeafood,1,4
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Spices and herbs</span>",https://en.wikibooks.org/wiki/Cookbook%3ASpices_and_herbs,1,0
Cookbook:Sweeteners,https://en.wikibooks.org/wiki/Cookbook%3ASweeteners,3,2
Cookbook:Vegetable,https://en.wikibooks.org/wiki/Cookbook%3AVegetable,3,3
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Appetizers</span>",https://en.wikibooks.org/wiki/Cookbook%3AAppetizers,0,7
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Breakfast</span>",https://en.wikibooks.org/wiki/Cookbook%3ABreakfast,0,3
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Dessert</span>",https://en.wikibooks.org/wiki/Cookbook%3ADessert,5,2
Cookbook:Special Diets,https://en.wikibooks.org/wiki/Cookbook%3ASpecial_Diets,22,2
Cookbook:Low-Carb,https://en.wikibooks.org/wiki/Cookbook%3ALow-Carb,0,4
Cookbook:Gluten-Free,https://en.wikibooks.org/wiki/Cookbook%3AGluten-Free,5,8
Cookbook:Eating for Health,https://en.wikibooks.org/wiki/Cookbook%3AEating_for_Health,2,8
Cookbook:Halal,https://en.wikibooks.org/wiki/Cookbook%3AHalal,1,3
Cookbook:High Protein Diet,https://en.wikibooks.org/wiki/Cookbook%3AHigh_Protein_Diet,5,8
Cookbook:Kosher,https://en.wikibooks.org/wiki/Cookbook%3AKosher,1,5
Cookbook:Low-GI Diet,https://en.wikibooks.org/wiki/Cookbook%3ALow-GI_Diet,0,7
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Vegan cuisine</span>",https://en.wikibooks.org/wiki/Cookbook%3AVegan_cuisine,1,0
Cookbook:Vegetarian cuisine,https://en.wikibooks.org/wiki/Cookbook%3AVegetarian_cuisine,23,8
Cookbook:Equipment,https://en.wikibooks.org/wiki/Cookbook%3AEquipment,0,8
Cookbook:Cookware,https://en.wikibooks.org/wiki/Cookbook%3ACookware,14,8
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Equivalencies</span>",https://en.wikibooks.org/wiki/Cookbook%3AEquivalencies,1,1
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">International food terms</span>",https://en.wikibooks.org/wiki/Cookbook%3AInternational_food_terms,1,0
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Seasonality</span>",https://en.wikibooks.org/wiki/Cookbook%3ASeasonality,3,8
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Substitutions</span>",https://en.wikibooks.org/wiki/Cookbook%3ASubstitutions,2,2
Cookbook:Units of measurement,https://en.wikibooks.org/wiki/Cookbook%3AUnits_of_measurement,3,8
"<span class=""mw-page-title-namespace"">Cookbook</span><span class=""mw-page-title-separator"">:</span><span class=""mw-page-title-main"">Cooking Techniques</span>",https://en.wikibooks.org/wiki/Cookbook%3ACooking_Techniques,0,8
Cookbook:Baking,https://en.wikibooks.org/wiki/Cookbook%3ABaking,3,8
Cookbook:Blanching,https://en.wikibooks.org/wiki/Cookbook%3ABlanching,0,5
Cookbook:Boiling,https://en.wikibooks.org/wiki/Cookbook%3ABoiling,0,8
Cookbook:Braising,https://en.wikibooks.org/wiki/Cookbook%3ABraising,0,6
Cookbook:Broiling,https://en.wikibooks.org/wiki/Cookbook%3ABroiling,0,4
Cookbook:Canning,https://en.wikibooks.org/wiki/Cookbook%3ACanning,4,8
Cookbook:Deep Fat Frying,https://en.wikibooks.org/wiki/Cookbook%3ADeep_Fat_Frying,3,8
Cookbook:Fermentation,https://en.wikibooks.org/wiki/Cookbook%3AFermentation,4,8
